    PID    PPID COMMAND         COMMAND
   3689       1 containerd-shim /usr/bin/containerd-shim-runc-v2 -namespace moby -id c7e6e45db2123f1cb6baef37f38e5c5cd2e81d29bf4e7d5004cb36b178665f1e -address /run/containerd/containerd.sock
   3737    3688 unbound         /opt/unbound/sbin/unbound -d -c /opt/unbound/etc/unbound/unbound.conf
   3738    3689 AdGuardHome     /opt/adguardhome/AdGuardHome --no-check-update -c /opt/adguardhome/conf/AdGuardHome.yaml -w /opt/adguardhome/work
   3983    1154 gdm-session-wor gdm-session-worker [pam/gdm-password]
   4092       1 gnome-keyring-d /usr/bin/gnome-keyring-daemon --daemonize --login
   4171    3983 gdm-wayland-ses /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
   4176    4171 gnome-session-i /usr/libexec/gnome-session-init-worker gnome
   4511    1158 gnome-session-c /usr/libexec/gnome-session-ctl --monitor
   4512    1158 uresourced      /usr/libexec/uresourced --user
   4520    1158 gnome-session-s /usr/libexec/gnome-session-service --session=gnome
   4521    1158 gvfsd           /usr/libexec/gvfsd
   4530    1158 gvfsd-fuse      /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   4543    1158 pipewire        /usr/bin/pipewire
   4544    1158 wireplumber     /usr/bin/wireplumber
   4545    1158 gnome-shell     /usr/bin/gnome-shell
   4607    1158 at-spi-bus-laun /usr/libexec/at-spi-bus-launcher
   4613    4607 dbus-broker-lau /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
   4614    4613 dbus-broker     dbus-broker --log 10 --controller 9 --machine-id 955cfe232dad4fa48429935d8113c387 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
   4615    1158 at-spi2-registr /usr/libexec/at-spi2-registryd --use-gnome-session
   4621    1158 xdg-permission- /usr/libexec/xdg-permission-store
   4627    1158 gnome-shell-cal /usr/libexec/gnome-shell-calendar-server
   4646    1158 dconf-service   /usr/libexec/dconf-service
   4647    1158 evolution-sourc /usr/libexec/evolution-source-registry
   4664    1158 gjs             /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   4682    1158 ibus-daemon     /usr/bin/ibus-daemon --panel disable
   4683    1158 gsd-a11y-settin /usr/libexec/gsd-a11y-settings
   4689    1158 gsd-color       /usr/libexec/gsd-color
   4692    1158 gsd-datetime    /usr/libexec/gsd-datetime
   4694    1158 gsd-disk-utilit /usr/libexec/gsd-disk-utility-notify
   4696    1158 gsd-housekeepin /usr/libexec/gsd-housekeeping
   4704    1158 gsd-keyboard    /usr/libexec/gsd-keyboard
   4712    1158 gsd-media-keys  /usr/libexec/gsd-media-keys
   4722    1158 gsd-power       /usr/libexec/gsd-power
   4730    1158 gsd-print-notif /usr/libexec/gsd-print-notifications
   4739    1158 gsd-rfkill      /usr/libexec/gsd-rfkill
   4751    1158 gsd-screensaver /usr/libexec/gsd-screensaver-proxy
   4754    1158 gsd-sharing     /usr/libexec/gsd-sharing
   4755    1158 gsd-smartcard   /usr/libexec/gsd-smartcard
   4765    1158 gsd-sound       /usr/libexec/gsd-sound
   4770    1158 gsd-usb-protect /usr/libexec/gsd-usb-protection
   4776    1158 gsd-wwan        /usr/libexec/gsd-wwan
   4860    4682 ibus-dconf      /usr/libexec/ibus-dconf
   4863    4682 ibus-extension- /usr/libexec/ibus-extension-gtk3
   4889    1158 ibus-portal     /usr/libexec/ibus-portal
   4892    1158 abrt-applet     /usr/bin/abrt-applet --gapplication-service
   4895    1158 gjs             /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   4898    1158 gvfs-udisks2-vo /usr/libexec/gvfs-udisks2-volume-monitor
   4900    1158 localsearch-3   /usr/libexec/localsearch-3
   4903    1158 evolution-alarm /usr/libexec/evolution-data-server/evolution-alarm-notify
   4904    1158 gnome-software  /usr/bin/gnome-software --gapplication-service
   4913    1158 pipewire-pulse  /usr/bin/pipewire-pulse
   4938    1158 gvfs-afc-volume /usr/libexec/gvfs-afc-volume-monitor
   4963    1158 gvfs-goa-volume /usr/libexec/gvfs-goa-volume-monitor
   4977    1158 goa-daemon      /usr/libexec/goa-daemon
   4988    1158 xdg-desktop-por /usr/libexec/xdg-desktop-portal
   5001    1158 xdg-document-po /usr/libexec/xdg-document-portal
   5008    5001 fusermount3     fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   5024    1158 evolution-calen /usr/libexec/evolution-calendar-factory
   5025    1158 xdg-desktop-por /usr/libexec/xdg-desktop-portal-gnome
   5062    1158 goa-identity-se /usr/libexec/goa-identity-service
   5067    1158 gvfs-gphoto2-vo /usr/libexec/gvfs-gphoto2-volume-monitor
   5076       1 abrt-dbus       /usr/sbin/abrt-dbus -t133
   5085    1158 gvfs-mtp-volume /usr/libexec/gvfs-mtp-volume-monitor
   5112    1158 evolution-addre /usr/libexec/evolution-addressbook-factory
   5181    1158 gvfsd-metadata  /usr/libexec/gvfsd-metadata
   5185    4682 ibus-engine-sim /usr/libexec/ibus-engine-simple
