case,sample,s4,s5,fade,before_frontier,after_frontier,context_defect,memory_defect,call_defect,unexpected,before_goal,after_goal,before_vf11z,after_vf11z,before_return,after_return
248,6,64,128,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
249,6,64,128,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,00800000,00800000,0,0
250,6,64,128,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
251,6,64,128,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
252,7,64,256,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
253,7,64,256,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
254,7,64,256,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
255,7,64,256,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
256,7,64,256,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
257,7,64,256,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
258,7,64,64,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
259,7,64,64,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
260,7,64,64,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
261,7,64,64,3f800000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
262,7,64,64,7fc12345,quaternion,quaternion,0,0,0,0,2048,2048,7fc12345,7fc12345,0,0
263,7,64,64,ff854321,quaternion,quaternion,0,0,0,0,2048,2048,ffc54321,ffc54321,0,0
264,7,64,48,00000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
265,7,64,48,80000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
266,7,64,48,3f000000,quaternion,quaternion,0,0,0,0,2048,2048,80800000,80800000,0,0
