rel_frame,dpos,drot,x86_lvl,arm_lvl
473,1136.6,0.11657,misty,misty
474,1229.5,0.11657,misty,misty
475,1158.0,0.11657,misty,misty
476,1199.9,0.11657,misty,misty
477,1130.0,0.11657,misty,misty
478,1171.9,0.11657,misty,misty
479,1102.1,0.11657,misty,misty
480,1144.0,0.11657,misty,misty
481,1241.6,0.11657,misty,misty
482,1171.9,0.11657,misty,misty
483,1213.8,0.11657,misty,misty
484,1144.0,0.11657,misty,misty
485,1185.9,0.11657,misty,misty
486,1116.3,0.11657,misty,misty
487,1213.8,0.11657,misty,misty
488,1088.3,0.11657,misty,misty
489,1185.9,0.11657,misty,misty
490,1227.8,0.11657,misty,misty
491,1158.0,0.11657,misty,misty
492,1199.9,0.11657,misty,misty
493,1130.1,0.11657,misty,misty
494,1227.8,0.11657,misty,misty
495,1102.1,0.11657,misty,misty
496,1199.8,0.11657,misty,misty
497,1241.6,0.11657,misty,misty
498,1171.9,0.11657,misty,misty
499,1213.8,0.11657,misty,misty
500,1144.0,0.11657,misty,misty
501,1241.6,0.11657,misty,misty
502,1116.1,0.11657,misty,misty
503,1213.9,0.11657,misty,misty
504,1255.6,0.11657,misty,misty
505,1185.9,0.11657,misty,misty
506,1227.8,0.11657,misty,misty
507,1158.0,0.11657,misty,misty
508,1255.8,0.11657,misty,misty
509,1130.1,0.11657,misty,misty
510,1227.8,0.11657,misty,misty
511,1158.0,0.11657,misty,misty
512,1199.9,0.11657,misty,misty
513,1297.6,0.11657,misty,misty
514,1171.9,0.11657,misty,misty
515,1269.5,0.11657,misty,misty
516,1144.0,0.11657,misty,misty
517,1241.8,0.11657,misty,misty
518,1171.9,0.11657,misty,misty
519,1213.8,0.11657,misty,misty
520,1144.1,0.11657,misty,misty
521,1185.9,0.11657,misty,misty
522,1283.6,0.11657,misty,misty
523,1213.9,0.11657,misty,misty
524,1255.6,0.11657,misty,misty
525,1185.8,0.11657,misty,misty
526,1227.7,0.11657,misty,misty
527,1158.0,0.11657,misty,misty
528,1199.8,0.11657,misty,misty
529,1297.5,0.11657,misty,misty
530,1227.9,0.11657,misty,misty
531,1269.6,0.11657,misty,misty
532,1199.8,0.11657,misty,misty
533,1241.6,0.11657,misty,misty
534,1091.1,0.11657,misty,misty
535,853.9,0.11657,misty,misty
536,20629.9,484.53549,misty,misty
537,20453.8,484.53549,misty,misty
538,20277.9,484.53549,misty,misty
539,20172.3,484.53549,misty,misty
