# SECTION A — collision-realistic float->int conversion sweep (60000 inputs)
# idx  in(hex)         scalar_out(hex16)   class
A554    565b3451        000000007fffffff  +ovf
A555    5596d445        000000007fffffff  +ovf
A556    5385e3a9        000000007fffffff  +ovf
A557    ca9f8338        ffffffffffb03e64  rng
A558    bfb15389        ffffffffffffffff  rng
A559    c47880fa        fffffffffffffc1e  rng
A560    caed350b        ffffffffff89657b  rng
A561    ceb714a5        ffffffffa475ad80  rng
A562    562629e4        000000007fffffff  +ovf
A563    548f06a7        000000007fffffff  +ovf
A564    528742e3        000000007fffffff  +ovf
A565    4b0b279e        00000000008b279e  rng
A566    c11a7ca2        fffffffffffffff7  rng
A567    42d0d4e0        0000000000000068  rng
A568    caeb2bf5        ffffffffff8a6a06  rng
A569    4ec450e6        0000000062287300  rng
A570    54f6f2fa        000000007fffffff  +ovf
A571    55ee267d        000000007fffffff  +ovf
A572    52c8217d        000000007fffffff  +ovf
A573    cb9f5f5b        fffffffffec1414a  rng
A574    3e476739        0000000000000000  rng
A575    c442fe45        fffffffffffffcf5  rng
A576    4987ab58        000000000010f56b  rng
A577    4df52e08        000000001ea5c100  rng
A578    55a1e016        000000007fffffff  +ovf
A579    54e3dc28        000000007fffffff  +ovf
A580    566d86c2        000000007fffffff  +ovf
A581    cb93c385        fffffffffed878f6  rng
A582    7f800000        000000007fffffff  Inf
A583    7fc00000        0000000000000000  NaN
A584    4a64e6fc        00000000003939bf  rng
A585    4edcef90        000000006e77c800  rng
A586    53757632        000000007fffffff  +ovf
A587    53cc294a        000000007fffffff  +ovf
A588    531394ff        000000007fffffff  +ovf
A589    4b974c4f        00000000012e989e  rng
A590    bfc558a3        ffffffffffffffff  rng
A591    c0d3fc80        fffffffffffffffa  rng
A592    caa15282        ffffffffffaf56bf  rng
A593    cec2644c        ffffffff9ecdda00  rng
A594    56010e8b        000000007fffffff  +ovf
A595    559007c3        000000007fffffff  +ovf
A596    5378d95a        000000007fffffff  +ovf
A597    4b688529        0000000000e88529  rng
A598    3ef4b0a7        0000000000000000  rng
A599    43268430        00000000000000a6  rng
A600    ca43ebbc        ffffffffffcf0511  rng
A601    cf01e8e3        ffffffff80000000  -ovf
A602    55e2adfc        000000007fffffff  +ovf
A603    56357ec0        000000007fffffff  +ovf
A604    53d2af9c        000000007fffffff  +ovf
A605    cbba006a        fffffffffe8bff2c  rng
A606    ff800000        ffffffff80000000  Inf
A607    43227148        00000000000000a2  rng
A608    cad9bd2a        ffffffffff93216b  rng
A609    4ed1d986        0000000068ecc300  rng
A610    55af2cc5        000000007fffffff  +ovf
A611    5602c228        000000007fffffff  +ovf
A612    52ecccf6        000000007fffffff  +ovf
A613    4c34029b        0000000002d00a6c  rng
A614    bf7b97fb        0000000000000000  rng
A615    443bbaf6        00000000000002ee  rng
A616    4a0009a0        0000000000200268  rng
A617    4e98ed0a        000000004c768500  rng
A618    560deb69        000000007fffffff  +ovf
A619    553bf9e9        000000007fffffff  +ovf
A620    51d49396        000000007fffffff  +ovf
A621    4bf11c8e        0000000001e2391c  rng
A622    c06eb50d        fffffffffffffffd  rng
A623    c4798817        fffffffffffffc1a  rng
A624    cac09a53        ffffffffff9fb2d7  rng
A625    ce6aea1c        ffffffffc5457900  rng
A626    550a862e        000000007fffffff  +ovf
A627    503fa947        000000007fffffff  +ovf
A628    52f8ac29        000000007fffffff  +ovf
A629    4abc810e        00000000005e4087  rng
A630    bf200987        0000000000000000  rng
A631    4407bc1a        000000000000021e  rng
A632    ca448760        ffffffffffcede28  rng
A633    4e3b5234        000000002ed48d00  rng
