# x86 (our HEAD) menu SPR3 dump, window=2400x1080 (20:9), aspect-ratio-scale should be ~1.6666
#
# Capture details (honest):
#   - gk built from HEAD rev c825283c2 (window title 'OpenGOAL - Jak 1 - c825283c2')
#   - X11 window measured 1920x1080 (monitor-bound borderless, display_mode=2);
#     the 2400x1080 comes from pc-settings.gc (window-size 2400 1080) + (aspect-state aspect4x3 20 9),
#     which drives aspect-ratio-scale=1.6666 (gold baseline confirmed arscale=1.6666 on this same monitor).
#   - aspect 20:9 also forced over goalc listener: (set-aspect! *pc-settings* 20 9)
#   - menu opened via single REAL START tap (xfocus_tap key 28); SDL_VIDEODRIVER=x11 so input reaches the window.
#   - menu-open VERIFIED over listener: *progress-process*=#t, in-out-position=0 (settled main progress menu),
#     SPR3-AUX npart=34 nicon=6 (matches gold baseline draw list).
#   - field key: px=position.x (GS units), sx=x-scale, mtx=HUD matrix idx, uhx=per-sprite hud user-hvdf X offset,
#     tbp=texture id (menu element), flag=sprite flag.
#
# ===== MENU-PERIOD mode=2 (HUD) sprites, deduped (sort -u) — static menu textures =====
# (animated title-attract particle idx=24/mtx=17 excluded; it has per-frame px/py jitter, not a menu texture)
GK-SPR3 mode=2 idx=26 px=-434.29 py=-566.03 pz=-102.54 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-434.29 py=566.03 pz=-102.54 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-443.46 py=-198.15 pz=283.80 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-443.46 py=198.15 pz=283.80 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-467.49 py=-466.28 pz=-53.21 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-467.49 py=466.28 pz=-53.21 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-474.03 py=-85.63 pz=234.49 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-47.55 py=1066.15 pz=-91.53 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-494.86 py=-27.84 pz=178.73 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-494.86 py=27.84 pz=178.73 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-503.36 py=-252.60 pz=59.52 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-503.36 py=252.60 pz=59.52 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-504.82 py=-141.01 pz=119.20 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-504.82 py=141.01 pz=119.20 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-58.89 py=-924.87 pz=294.79 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-58.89 py=924.87 pz=294.79 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-89.25 py=1039.58 pz=-131.33 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
GK-SPR3 mode=2 idx=26 px=-89.29 py=-1039.56 pz=-131.36 sx=1228.8000 sy=1228.8000 mtx=17 uhx=1472.00 uhy=1992.00 tbp=0x252d flag=0
